"","tray","analysis","letter","name","value"
"463","Tray3","total-Fe",,"7","NULL"
"464","Tray3","total-Fe",,"8","NULL"
"465","Tray3","total-Fe",,"9","NULL"
"466","Tray3","total-Fe",,"10","NULL"
"467","Tray3","total-Fe",,"11","NULL"
"468","Tray3","total-Fe",,"12","NULL"
"469","Tray3","total-Fe",,"1","NULL"
"470","Tray3","total-Fe",,"2","NULL"
"471","Tray3","total-Fe",,"3","NULL"
"472","Tray3","total-Fe",,"4","NULL"
"473","Tray3","total-Fe",,"5","NULL"
"474","Tray3","total-Fe",,"6","NULL"
"475","Tray3","total-Fe",,"7","NULL"
"476","Tray3","total-Fe",,"8","NULL"
"477","Tray3","total-Fe",,"9","NULL"
"478","Tray3","total-Fe",,"10","NULL"
"479","Tray3","total-Fe",,"11","NULL"
"480","Tray3","total-Fe",,"12","NULL"
"481","Tray3","total-Fe","Tray 4 (Total Fe): 10 uL sample + 10 uL HCl + 20 uL ascorbic acid + 100 uL ferrozine","1","NULL"
"482","Tray3","total-Fe","Tray 4 (Total Fe): 10 uL sample + 10 uL HCl + 20 uL ascorbic acid + 100 uL ferrozine","2","NULL"
"483","Tray3","total-Fe","Tray 4 (Total Fe): 10 uL sample + 10 uL HCl + 20 uL ascorbic acid + 100 uL ferrozine","3","NULL"
"484","Tray3","total-Fe","Tray 4 (Total Fe): 10 uL sample + 10 uL HCl + 20 uL ascorbic acid + 100 uL ferrozine","4","NULL"
"485","Tray3","total-Fe","Tray 4 (Total Fe): 10 uL sample + 10 uL HCl + 20 uL ascorbic acid + 100 uL ferrozine","5","NULL"
"486","Tray3","total-Fe","Tray 4 (Total Fe): 10 uL sample + 10 uL HCl + 20 uL ascorbic acid + 100 uL ferrozine","6","NULL"
"487","Tray3","total-Fe","Tray 4 (Total Fe): 10 uL sample + 10 uL HCl + 20 uL ascorbic acid + 100 uL ferrozine","7","NULL"
"488","Tray3","total-Fe","Tray 4 (Total Fe): 10 uL sample + 10 uL HCl + 20 uL ascorbic acid + 100 uL ferrozine","8","NULL"
"489","Tray3","total-Fe","Tray 4 (Total Fe): 10 uL sample + 10 uL HCl + 20 uL ascorbic acid + 100 uL ferrozine","9","NULL"
"490","Tray3","total-Fe","Tray 4 (Total Fe): 10 uL sample + 10 uL HCl + 20 uL ascorbic acid + 100 uL ferrozine","10","NULL"
"491","Tray3","total-Fe","Tray 4 (Total Fe): 10 uL sample + 10 uL HCl + 20 uL ascorbic acid + 100 uL ferrozine","11","NULL"
"492","Tray3","total-Fe","Tray 4 (Total Fe): 10 uL sample + 10 uL HCl + 20 uL ascorbic acid + 100 uL ferrozine","12","NULL"
"493","Tray3","total-Fe","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","1","NULL"
"494","Tray3","total-Fe","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","2","NULL"
"495","Tray3","total-Fe","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","3","NULL"
"496","Tray3","total-Fe","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","4","NULL"
"497","Tray3","total-Fe","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","5","NULL"
"498","Tray3","total-Fe","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","6","NULL"
"499","Tray3","total-Fe","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","7","NULL"
"500","Tray3","total-Fe","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","8","NULL"
"501","Tray3","total-Fe","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","9","NULL"
"502","Tray3","total-Fe","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","10","NULL"
"503","Tray3","total-Fe","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","11","NULL"
"504","Tray3","total-Fe","Standards: 20 uL standard + 20 uL water + 100 uL ferrozine","12","NULL"
"505","Tray3","total-Fe",,"1","NULL"
"506","Tray3","total-Fe",,"2","NULL"
"507","Tray3","total-Fe",,"3","NULL"
"508","Tray3","total-Fe",,"4","NULL"
"509","Tray3","total-Fe",,"5","NULL"
"510","Tray3","total-Fe",,"6","NULL"
"511","Tray3","total-Fe",,"7","NULL"
"512","Tray3","total-Fe",,"8","NULL"
"513","Tray3","total-Fe",,"9","NULL"
"514","Tray3","total-Fe",,"10","NULL"
"515","Tray3","total-Fe",,"11","NULL"
"516","Tray3","total-Fe",,"12","NULL"
"517","Tray4","total-Fe",,"1","1"
"518","Tray4","total-Fe",,"2","2"
"519","Tray4","total-Fe",,"3","3"
"520","Tray4","total-Fe",,"4","4"
"521","Tray4","total-Fe",,"5","5"
"522","Tray4","total-Fe",,"6","6"
"523","Tray4","total-Fe",,"7","7"
"524","Tray4","total-Fe",,"8","8"
"525","Tray4","total-Fe",,"9","9"
"526","Tray4","total-Fe",,"10","10"
"527","Tray4","total-Fe",,"11","11"
"528","Tray4","total-Fe",,"12","12"
"529","Tray4","total-Fe","A","1","FAS standard - volume 20 uL - serial dilution 2x"
"530","Tray4","total-Fe","A","2","COMPASS_Dec2021_071"
"531","Tray4","total-Fe","A","3","COMPASS_Dec2021_079"
"532","Tray4","total-Fe","A","4","COMPASS_Dec2021_086"
"533","Tray4","total-Fe","A","5","NULL"
"534","Tray4","total-Fe","A","6","NULL"
"535","Tray4","total-Fe","A","7","NULL"
"536","Tray4","total-Fe","A","8","NULL"
"537","Tray4","total-Fe","A","9","NULL"
"538","Tray4","total-Fe","A","10","NULL"
"539","Tray4","total-Fe","A","11","NULL"
"540","Tray4","total-Fe","A","12","NULL"
"541","Tray4","total-Fe","B","1","NULL"
"542","Tray4","total-Fe","B","2","COMPASS_Dec2021_072"
"543","Tray4","total-Fe","B","3","COMPASS_Dec2021_080"
"544","Tray4","total-Fe","B","4","COMPASS_Dec2021_087"
"545","Tray4","total-Fe","B","5","NULL"
"546","Tray4","total-Fe","B","6","NULL"
"547","Tray4","total-Fe","B","7","NULL"
"548","Tray4","total-Fe","B","8","NULL"
"549","Tray4","total-Fe","B","9","NULL"
"550","Tray4","total-Fe","B","10","NULL"
"551","Tray4","total-Fe","B","11","NULL"
"552","Tray4","total-Fe","B","12","NULL"
"553","Tray4","total-Fe","C","1","NULL"
"554","Tray4","total-Fe","C","2","COMPASS_Dec2021_073"
"555","Tray4","total-Fe","C","3","rep-75"
"556","Tray4","total-Fe","C","4","rep-85"
"557","Tray4","total-Fe","C","5","NULL"
"558","Tray4","total-Fe","C","6","NULL"
"559","Tray4","total-Fe","C","7","NULL"
"560","Tray4","total-Fe","C","8","NULL"
"561","Tray4","total-Fe","C","9","NULL"
"562","Tray4","total-Fe","C","10","NULL"
"563","Tray4","total-Fe","C","11","NULL"
"564","Tray4","total-Fe","C","12","NULL"
"565","Tray4","total-Fe","D","1","NULL"
"566","Tray4","total-Fe","D","2","COMPASS_Dec2021_074"
"567","Tray4","total-Fe","D","3","COMPASS_Dec2021_081"
"568","Tray4","total-Fe","D","4","blank"
"569","Tray4","total-Fe","D","5","NULL"
"570","Tray4","total-Fe","D","6","NULL"
"571","Tray4","total-Fe","D","7","NULL"
"572","Tray4","total-Fe","D","8","NULL"
"573","Tray4","total-Fe","D","9","NULL"
"574","Tray4","total-Fe","D","10","NULL"
"575","Tray4","total-Fe","D","11","NULL"
"576","Tray4","total-Fe","D","12","NULL"
"577","Tray4","total-Fe","E","1","NULL"
"578","Tray4","total-Fe","E","2","COMPASS_Dec2021_075"
"579","Tray4","total-Fe","E","3","COMPASS_Dec2021_082"
"580","Tray4","total-Fe","E","4","NULL"
"581","Tray4","total-Fe","E","5","NULL"
"582","Tray4","total-Fe","E","6","NULL"
"583","Tray4","total-Fe","E","7","NULL"
"584","Tray4","total-Fe","E","8","NULL"
"585","Tray4","total-Fe","E","9","NULL"
"586","Tray4","total-Fe","E","10","NULL"
"587","Tray4","total-Fe","E","11","NULL"
"588","Tray4","total-Fe","E","12","NULL"
"589","Tray4","total-Fe","F","1","NULL"
"590","Tray4","total-Fe","F","2","COMPASS_Dec2021_076"
"591","Tray4","total-Fe","F","3","COMPASS_Dec2021_083"
"592","Tray4","total-Fe","F","4","NULL"
"593","Tray4","total-Fe","F","5","NULL"
"594","Tray4","total-Fe","F","6","NULL"
"595","Tray4","total-Fe","F","7","NULL"
"596","Tray4","total-Fe","F","8","NULL"
"597","Tray4","total-Fe","F","9","NULL"
"598","Tray4","total-Fe","F","10","NULL"
"599","Tray4","total-Fe","F","11","NULL"
"600","Tray4","total-Fe","F","12","NULL"
"601","Tray4","total-Fe","G","1","NULL"
"602","Tray4","total-Fe","G","2","COMPASS_Dec2021_077"
"603","Tray4","total-Fe","G","3","COMPASS_Dec2021_084"
"604","Tray4","total-Fe","G","4","NULL"
"605","Tray4","total-Fe","G","5","NULL"
"606","Tray4","total-Fe","G","6","NULL"
"607","Tray4","total-Fe","G","7","NULL"
"608","Tray4","total-Fe","G","8","NULL"
"609","Tray4","total-Fe","G","9","NULL"
"610","Tray4","total-Fe","G","10","NULL"
"611","Tray4","total-Fe","G","11","NULL"
"612","Tray4","total-Fe","G","12","NULL"
"613","Tray4","total-Fe","H","1","0.5 M HCl"
"614","Tray4","total-Fe","H","2","COMPASS_Dec2021_078"
"615","Tray4","total-Fe","H","3","COMPASS_Dec2021_085"
"616","Tray4","total-Fe","H","4","NULL"
"617","Tray4","total-Fe","H","5","NULL"
"618","Tray4","total-Fe","H","6","NULL"
"619","Tray4","total-Fe","H","7","NULL"
"620","Tray4","total-Fe","H","8","NULL"
"621","Tray4","total-Fe","H","9","NULL"
"622","Tray4","total-Fe","H","10","NULL"
"623","Tray4","total-Fe","H","11","NULL"
"624","Tray4","total-Fe","H","12","NULL"
